dataset	signature	seed	product_rf_f1-micro	sklearn_rf_f1-micro	product_rf_f1-macro	sklearn_rf_f1-macro	product_rf_accuracy	sklearn_rf_accuracy	product_rf_time	sklearn_rf_time
gaussian	HS1024	44	0.75	0.755	0.7186901660710175	0.7267167001594143	0.75	0.755	2.5612094402313232	0.05405092239379883
gaussian	HS1024	45	0.76	0.77	0.73249742189823	0.7735722871097301	0.76	0.77	2.424900770187378	0.05343317985534668
gaussian	HS1024	46	0.785	0.79	0.6688781806428865	0.6855756512006512	0.785	0.79	2.3972887992858887	0.05467057228088379
gaussian	HS1024	47	0.78	0.835	0.6217325498575499	0.6967684122885003	0.78	0.835	2.4173691272735596	0.05431246757507324
gaussian	HS1024	48	0.74	0.78	0.7235061944201482	0.77980798222688	0.74	0.78	2.663832187652588	0.056508541107177734
gaussian	HS1024	49	0.725	0.77	0.6875559844724541	0.7570099914965986	0.725	0.77	2.533170223236084	0.06568312644958496
gaussian	HS1024	50	0.73	0.77	0.7354788495712876	0.7261805176071583	0.73	0.77	2.5961415767669678	0.05568432807922363
gaussian	H64	51	0.84	0.85	0.7722728101631282	0.805928831521673	0.84	0.85	2.9071078300476074	0.03315019607543945
gaussian	H64	52	0.82	0.82	0.8229889652721614	0.8329777288008905	0.82	0.82	2.9952054023742676	0.03244829177856445
gaussian	H64	53	0.815	0.81	0.7901492674448841	0.7800716539941914	0.815	0.81	3.1204144954681396	0.0323481559753418
gaussian	H64	54	0.81	0.85	0.7841282432961014	0.8401635366116027	0.81	0.85	2.763711452484131	0.033112525939941406
gaussian	H64	55	0.755	0.82	0.732740033194328	0.8209040132198752	0.755	0.82	3.093019723892212	0.03269553184509277
gaussian	H64	56	0.855	0.805	0.8549344510666602	0.803437464223889	0.855	0.805	3.0381903648376465	0.03189682960510254
gaussian	H64	57	0.87	0.845	0.7683357941369012	0.755200931413618	0.87	0.845	2.6741321086883545	0.03348255157470703
gaussian	H64	58	0.815	0.855	0.7157096868539143	0.8203612623445451	0.815	0.855	3.0140411853790283	0.03242373466491699
gaussian	H64	59	0.82	0.85	0.8104135634086722	0.8449101676429233	0.82	0.85	2.9945881366729736	0.03289794921875
gaussian	H64	60	0.795	0.855	0.7522197588046098	0.8059204856291551	0.795	0.855	2.9317898750305176	0.03600263595581055
gaussian	S64	61	0.51	0.495	0.4128544474474707	0.40000190386264456	0.51	0.495	3.54308819770813	0.04237651824951172
gaussian	S64	62	0.49	0.5	0.4079007913087197	0.39320923590881574	0.49	0.5	3.3971714973449707	0.041825056076049805
gaussian	S64	63	0.465	0.475	0.33495375480700756	0.3689359485038561	0.465	0.475	3.4251513481140137	0.04407095909118652
gaussian	S64	64	0.47	0.43	0.3023567732289038	0.3195715010945877	0.47	0.43	3.3935019969940186	0.03388166427612305
