dataset	signature	seed	product_rf_f1-micro	sklearn_rf_f1-micro	product_rf_f1-macro	sklearn_rf_f1-macro	product_rf_accuracy	sklearn_rf_accuracy	product_rf_time	sklearn_rf_time
gaussian	H64	58	0.885	0.885	0.6786231343470797	0.6732856578859807	0.885	0.885	0.1251692771911621	0.0322268009185791
gaussian	H64	59	0.92	0.9	0.8889497814087417	0.8454355814125267	0.92	0.9	0.12377619743347168	0.034581899642944336
gaussian	H64	60	0.95	0.955	0.8211195212266469	0.827891662622497	0.95	0.955	0.12469816207885742	0.0333096981048584
gaussian	S64	61	0.46	0.48	0.38110407493062504	0.3732118753921823	0.46	0.48	0.10311126708984375	0.032202720642089844
gaussian	S64	62	0.465	0.445	0.41355365441314157	0.35420430122905955	0.465	0.445	0.11120176315307617	0.032974958419799805
gaussian	S64	63	0.545	0.395	0.46882060548219084	0.33671269989603625	0.545	0.395	0.10929036140441895	0.03359794616699219
gaussian	S64	64	0.6	0.495	0.3373105857785393	0.29638112102715986	0.6	0.495	0.11040163040161133	0.03186345100402832
gaussian	S64	65	0.57	0.485	0.35190235026655997	0.2749584612018756	0.57	0.485	0.10938739776611328	0.03223824501037598
gaussian	S64	66	0.595	0.51	0.45587914083085423	0.39675827948640885	0.595	0.51	0.10982942581176758	0.032511234283447266
gaussian	S64	67	0.525	0.38	0.4836632675443003	0.3064763760532574	0.525	0.38	0.10993671417236328	0.0331423282623291
gaussian	S64	68	0.51	0.445	0.3089229069421938	0.2566082167403044	0.51	0.445	0.10985374450683594	0.03262639045715332
gaussian	S64	69	0.535	0.435	0.32198561242678886	0.24312808168913902	0.535	0.435	0.11026835441589355	0.03176116943359375
gaussian	S64	70	0.52	0.425	0.36618400279602503	0.31199621634404245	0.52	0.425	0.10973334312438965	0.032624244689941406
gaussian	HH64	71	0.76	0.82	0.5981873713295831	0.6711060181648416	0.76	0.82	0.1255340576171875	0.033014774322509766
gaussian	HH64	72	0.82	0.715	0.7285739869802871	0.4855203507728052	0.82	0.715	0.12596487998962402	0.03243303298950195
gaussian	HH64	73	0.75	0.72	0.5036643775614363	0.5534307707410009	0.75	0.72	0.12697649002075195	0.0322265625
gaussian	HH64	74	0.805	0.82	0.6209954827485192	0.625501020144257	0.805	0.82	0.12495064735412598	0.03190016746520996
gaussian	HH64	75	0.72	0.72	0.5145501477128688	0.5119104584330225	0.72	0.72	0.12573671340942383	0.032286643981933594
gaussian	HH64	76	0.865	0.83	0.7969716394716395	0.74972793984729	0.865	0.83	0.1267244815826416	0.03269386291503906
gaussian	HH64	77	0.725	0.71	0.5976319292623864	0.5143109377785244	0.725	0.71	0.1265881061553955	0.03225588798522949
gaussian	HH64	78	0.725	0.675	0.5903310675741957	0.5442753932930684	0.725	0.675	0.12664151191711426	0.032004356384277344
gaussian	HH64	79	0.74	0.73	0.6837968318231475	0.6062701171573701	0.74	0.73	0.1264638900756836	0.0319361686706543
gaussian	HH64	80	0.86	0.815	0.5575648042703387	0.5180473812496285	0.86	0.815	0.12547731399536133	0.03469514846801758
gaussian	SS64	81	0.63	0.64	0.40300989794460573	0.4107137386013182	0.63	0.64	0.1108236312866211	0.032466888427734375
gaussian	SS64	82	0.585	0.625	0.43870723235800907	0.49422790370802605	0.585	0.625	0.10929393768310547	0.03334355354309082
gaussian	SS64	83	0.725	0.74	0.4615675771596824	0.4811998772111584	0.725	0.74	0.11086726188659668	0.03333401679992676
gaussian	SS64	84	0.635	0.67	0.49522486378869357	0.5422768173724777	0.635	0.67	0.11057019233703613	0.03189539909362793
gaussian	SS64	85	0.605	0.685	0.5154267268166002	0.5991988639767074	0.605	0.685	0.11106634140014648	0.03226327896118164
gaussian	SS64	86	0.675	0.63	0.37957632442223677	0.35790466881402927	0.675	0.63	0.11047101020812988	0.03329896926879883
gaussian	SS64	87	0.725	0.705	0.44772764107303176	0.43652411709861916	0.725	0.705	0.1108388900756836	0.03362154960632324
gaussian	SS64	88	0.74	0.69	0.5602381868932986	0.4983709385702741	0.74	0.69	0.11031985282897949	0.03251767158508301
gaussian	SS64	89	0.56	0.63	0.3903488978728009	0.4501188972357943	0.56	0.63	0.11069750785827637	0.03344845771789551
gaussian	SS64	90	0.625	0.565	0.4993721773128567	0.4526139995774823	0.625	0.565	0.1105508804321289	0.03287053108215332
gaussian	HS64	91	0.685	0.64	0.5112681238748601	0.5482349841328178	0.685	0.64	0.11841940879821777	0.03256678581237793
gaussian	HS64	92	0.85	0.875	0.5437942018070141	0.558987883953731	0.85	0.875	0.11979174613952637	0.03283047676086426
gaussian	HS64	93	0.69	0.735	0.42805732420840836	0.5020954988676252	0.69	0.735	0.12055730819702148	0.03410649299621582
gaussian	HS64	94	0.79	0.715	0.5702697786942544	0.5043726947756914	0.79	0.715	0.12182974815368652	0.03373241424560547
gaussian	HS64	95	0.79	0.775	0.5850642477542433	0.5830191715581372	0.79	0.775	0.11902856826782227	0.033377885818481445
gaussian	HS64	96	0.71	0.72	0.5549526235961856	0.5184371837313014	0.71	0.72	0.11850261688232422	0.03343367576599121
gaussian	HS64	97	0.67	0.675	0.5931993824243582	0.4888655806844009	0.67	0.675	0.11925172805786133	0.031903743743896484
gaussian	HS64	98	0.75	0.715	0.4842004317806541	0.43447636300897174	0.75	0.715	0.1175069808959961	0.03411245346069336
gaussian	HS64	99	0.825	0.8	0.5571812285689224	0.5285377602697735	0.825	0.8	0.12018489837646484	0.03234672546386719
gaussian	HS64	100	0.715	0.69	0.47180118297755097	0.4183840051643949	0.715	0.69	0.11720514297485352	0.031946420669555664
gaussian	H16	101	0.87	0.835	0.6177738298704917	0.5737100904435001	0.87	0.835	0.12053346633911133	0.032833099365234375
gaussian	H16	102	0.865	0.86	0.5549612150123479	0.5472816616947975	0.865	0.86	0.11787056922912598	0.03437662124633789
gaussian	H16	103	0.85	0.825	0.667793111530488	0.7359787404173377	0.85	0.825	0.1184854507446289	0.03281855583190918
gaussian	H16	104	0.85	0.805	0.69692274592877	0.6030850636041232	0.85	0.805	0.11774563789367676	0.03235149383544922
gaussian	H16	105	0.82	0.82	0.5704087287977926	0.5746596589574324	0.82	0.82	0.11921811103820801	0.03252124786376953
gaussian	H16	106	0.84	0.755	0.6884244227994227	0.501710081096727	0.84	0.755	0.11850142478942871	0.034035444259643555
gaussian	H16	107	0.82	0.785	0.66391198209016	0.6079043818831245	0.82	0.785	0.11872291564941406	0.03401541709899902
gaussian	H16	108	0.87	0.835	0.7148587791703733	0.7032096347645128	0.87	0.835	0.11861491203308105	0.03250622749328613
gaussian	H16	109	0.86	0.91	0.7419974106593825	0.7918857058920837	0.86	0.91	0.11337995529174805	0.03291678428649902
gaussian	H16	110	0.88	0.8	0.6737159243336921	0.6161411934516956	0.88	0.8	0.11730837821960449	0.03255128860473633
gaussian	S16	111	0.54	0.56	0.4295777375360855	0.47273094724333115	0.54	0.56	0.10300898551940918	0.03253936767578125
gaussian	S16	112	0.62	0.615	0.4285870772160728	0.4413015296862847	0.62	0.615	0.10309314727783203	0.03359365463256836
gaussian	S16	113	0.68	0.65	0.4356750521071693	0.4121342533501323	0.68	0.65	0.10338687896728516	0.03378486633300781
gaussian	S16	114	0.67	0.62	0.5077456454645551	0.48587957811977334	0.67	0.62	0.10284423828125	0.033380746841430664
gaussian	S16	115	0.655	0.565	0.5144630694461516	0.452275001395257	0.655	0.565	0.10300755500793457	0.032398223876953125
gaussian	S16	116	0.65	0.655	0.436224416543026	0.46477528067818447	0.65	0.655	0.10223841667175293	0.03355693817138672
gaussian	S16	117	0.64	0.645	0.493827645657898	0.49066614263526376	0.64	0.645	0.10291886329650879	0.0336604118347168
gaussian	S16	118	0.545	0.605	0.4191090107346413	0.49771467875687825	0.545	0.605	0.09218502044677734	0.03434491157531738
gaussian	S16	119	0.625	0.595	0.4569399433440896	0.4368821888969714	0.625	0.595	0.10283732414245605	0.03431987762451172
gaussian	S16	120	0.625	0.535	0.4816439726214149	0.3517901715888429	0.625	0.535	0.10328149795532227	0.03372621536254883
gaussian	HH16	121	0.7	0.65	0.6661189334834319	0.5900361597848394	0.7	0.65	0.12216353416442871	0.03453540802001953
gaussian	HH16	122	0.715	0.66	0.537828420842021	0.4893228464281095	0.715	0.66	0.11972784996032715	0.03511404991149902
gaussian	HH16	123	0.775	0.77	0.49035136513234134	0.4490091381832453	0.775	0.77	0.12186241149902344	0.034256935119628906
gaussian	HH16	124	0.73	0.685	0.5455195266733128	0.5006307202822221	0.73	0.685	0.11913037300109863	0.03290367126464844
gaussian	HH16	125	0.74	0.74	0.6017716288484922	0.5707013131014798	0.74	0.74	0.11821246147155762	0.03365755081176758
gaussian	HH16	126	0.635	0.605	0.5450752096374742	0.508319047317247	0.635	0.605	0.11788249015808105	0.035126447677612305
gaussian	HH16	127	0.68	0.705	0.3793253973334508	0.39547966793557027	0.68	0.705	0.11802291870117188	0.03463482856750488
gaussian	HH16	128	0.695	0.64	0.5082540838218533	0.4614822271962795	0.695	0.64	0.11605024337768555	0.0339055061340332
gaussian	HH16	129	0.665	0.66	0.4875780872078786	0.4590563190787726	0.665	0.66	0.1178889274597168	0.0337064266204834
gaussian	HH16	130	0.685	0.65	0.4478445168127965	0.4150043458286169	0.685	0.65	0.11834025382995605	0.03442859649658203
gaussian	SS16	131	0.44	0.46	0.21643465931124733	0.24162496451605342	0.44	0.46	0.10359025001525879	0.03293156623840332
gaussian	SS16	132	0.52	0.43	0.27709659329624625	0.21880147181044773	0.52	0.43	0.10184860229492188	0.03562116622924805
gaussian	SS16	133	0.425	0.455	0.22793096994931036	0.2541791228735021	0.425	0.455	0.10320854187011719	0.03422999382019043
gaussian	SS16	134	0.405	0.325	0.35864385866913673	0.28290760596838155	0.405	0.325	0.10142397880554199	0.03291010856628418
gaussian	SS16	135	0.45	0.435	0.2527793045680713	0.27929589885426753	0.45	0.435	0.10345983505249023	0.03325390815734863
gaussian	SS16	136	0.4	0.375	0.30976661468464745	0.310586546996987	0.4	0.375	0.09853553771972656	0.033434391021728516
gaussian	SS16	137	0.41	0.435	0.22293253416532935	0.23269154406832715	0.41	0.435	0.10323929786682129	0.03384900093078613
gaussian	SS16	138	0.305	0.35	0.22922858999855483	0.29525773048132725	0.305	0.35	0.10192203521728516	0.033659934997558594
gaussian	SS16	139	0.375	0.36	0.29318875486162227	0.27124661705270137	0.375	0.36	0.10312843322753906	0.03290748596191406
gaussian	SS16	140	0.39	0.38	0.3026026034546694	0.27444006832757484	0.39	0.38	0.10124635696411133	0.035573720932006836
gaussian	HS16	141	0.635	0.605	0.4992719018306722	0.4960824947961666	0.635	0.605	0.11469864845275879	0.034467458724975586
gaussian	HS16	142	0.57	0.57	0.3872225447739146	0.3645448547053572	0.57	0.57	0.11472320556640625	0.03346395492553711
