dataset	signature	seed	product_rf_f1-micro	single_manifold_rf_f1-micro	sklearn_rf_f1-micro	tangent_rf_f1-micro	product_rf_f1-macro	single_manifold_rf_f1-macro	sklearn_rf_f1-macro	tangent_rf_f1-macro	product_rf_accuracy	single_manifold_rf_accuracy	sklearn_rf_accuracy	tangent_rf_accuracy	product_rf_time	single_manifold_rf_time	sklearn_rf_time	tangent_rf_time
gaussian	HS16	441	0.655	0.43	0.585	0.61	0.44008521508521503	0.34374825760184774	0.3697828809600754	0.3898051349835776	0.655	0.43	0.585	0.61	0.11526727676391602	4.040714502334595	0.03319096565246582	0.03408670425415039
gaussian	HS16	442	0.58	0.65	0.615	0.6	0.30031040388183244	0.49123529171531394	0.3183096159159989	0.3079648526077098	0.58	0.65	0.615	0.6	0.1144411563873291	3.4931838512420654	0.03306698799133301	0.034337520599365234
gaussian	HS16	443	0.705	0.705	0.67	0.69	0.3913404430119758	0.5530613841708295	0.37675113459300935	0.37878299116859404	0.705	0.705	0.67	0.69	0.11373758316040039	3.0299618244171143	0.03188943862915039	0.03672933578491211
gaussian	HS16	444	0.655	0.75	0.605	0.66	0.48923943661290037	0.7245172173466239	0.45561254365602194	0.5247333064237112	0.655	0.75	0.605	0.66	0.11962556838989258	3.4045157432556152	0.033368587493896484	0.033406972885131836
gaussian	HS16	445	0.575	0.625	0.615	0.61	0.38688354903007527	0.5420305476434724	0.4436202155945062	0.43606777196868646	0.575	0.625	0.615	0.61	0.11421394348144531	4.071488618850708	0.032764434814453125	0.03417682647705078
gaussian	HS16	446	0.58	0.625	0.565	0.585	0.4266993104337828	0.5650951906146917	0.4146054221554162	0.42605173281865005	0.58	0.625	0.565	0.585	0.11412286758422852	3.715869903564453	0.03365373611450195	0.034761667251586914
gaussian	HS16	447	0.705	0.415	0.665	0.725	0.4652418150801255	0.35234317801548065	0.44386742228883336	0.4806908262911553	0.705	0.415	0.665	0.725	0.1148996353149414	3.608145236968994	0.035750389099121094	0.034859657287597656
gaussian	HS16	448	0.7	0.395	0.665	0.715	0.5888728570037016	0.35063525516111727	0.5451181911968503	0.6194046504389943	0.7	0.395	0.665	0.715	0.11574649810791016	4.013624906539917	0.03216814994812012	0.03586888313293457
gaussian	HS16	449	0.56	0.67	0.71	0.66	0.44087846106917983	0.6270956131756626	0.6009735727626666	0.549441563977529	0.56	0.67	0.71	0.66	0.11401653289794922	3.3163037300109863	0.03296780586242676	0.03474259376525879
gaussian	HS16	450	0.64	0.785	0.705	0.66	0.4770051276617064	0.7366237873039836	0.47716785241845383	0.46879126946331245	0.64	0.785	0.705	0.66	0.11693739891052246	2.9254963397979736	0.03283238410949707	0.034157752990722656
gaussian	H4	451	0.76	0.705	0.64	0.71	0.5751558757939885	0.5884018762522437	0.440617797135545	0.49731386250782805	0.76	0.705	0.64	0.71	0.11347818374633789	2.9019908905029297	0.16550040245056152	0.03586316108703613
gaussian	H4	452	0.825	0.89	0.76	0.795	0.5373035764013208	0.7895326788233835	0.41517327248296476	0.4489962314395846	0.825	0.89	0.76	0.795	0.11826062202453613	1.971982479095459	0.033464908599853516	0.03398919105529785
gaussian	H4	453	0.665	0.65	0.595	0.65	0.3489739537654515	0.5231342153414871	0.31516686168397445	0.3467824604630073	0.665	0.65	0.595	0.65	0.11341500282287598	3.4558987617492676	0.03307151794433594	0.033796072006225586
gaussian	H4	454	0.695	0.765	0.615	0.7	0.5119909142482048	0.7099121066907476	0.38561065153264074	0.5403079778818987	0.695	0.765	0.615	0.7	0.1143803596496582	2.5039873123168945	0.03277230262756348	0.03451108932495117
gaussian	H4	455	0.605	0.685	0.56	0.585	0.47026896329563733	0.644504665180063	0.42096678385375885	0.44039012597712235	0.605	0.685	0.56	0.585	0.11503124237060547	3.373824119567871	0.03401303291320801	0.03628230094909668
gaussian	H4	456	0.7	0.685	0.62	0.665	0.6586538900966894	0.6755735174599272	0.6011877261877262	0.6272950121573975	0.7	0.685	0.62	0.665	0.11439204216003418	3.091639995574951	0.033113956451416016	0.03382420539855957
gaussian	H4	457	0.555	0.62	0.54	0.565	0.5244345866366907	0.5979728592713529	0.432823878340987	0.5314920822332513	0.555	0.62	0.54	0.565	0.11507534980773926	3.8536572456359863	0.03359103202819824	0.035552263259887695
gaussian	H4	458	0.61	0.715	0.635	0.655	0.45995428977063163	0.6524227206054369	0.5337566336836626	0.5364704776594109	0.61	0.715	0.635	0.655	0.11441302299499512	2.9044525623321533	0.03243088722229004	0.03644514083862305
gaussian	H4	459	0.665	0.66	0.615	0.635	0.5175560172300552	0.5845931842903012	0.40890897967091316	0.46389139960618503	0.665	0.66	0.615	0.635	0.1146390438079834	3.252209186553955	0.03265500068664551	0.034058570861816406
gaussian	H4	460	0.5	0.55	0.445	0.495	0.2761242542150868	0.5029290644410891	0.2021017009431893	0.2795981876650481	0.5	0.55	0.445	0.495	0.11376690864562988	4.899749040603638	0.03282523155212402	0.03454709053039551
gaussian	H4	461	0.62	0.67	0.63	0.595	0.5795121097438031	0.6718094228051575	0.6015932702586693	0.5611119009902188	0.62	0.67	0.63	0.595	0.11423254013061523	3.049365520477295	0.032592058181762695	0.03451704978942871
gaussian	H4	462	0.625	0.615	0.605	0.555	0.4101626526617603	0.48385486799269606	0.40738000246073014	0.3077685455441416	0.625	0.615	0.605	0.555	0.11459589004516602	3.972749948501587	0.03316545486450195	0.03352832794189453
