dataset	signature	seed	product_rf_f1-micro	single_manifold_rf_f1-micro	sklearn_rf_f1-micro	tangent_rf_f1-micro	product_rf_f1-macro	single_manifold_rf_f1-macro	sklearn_rf_f1-macro	tangent_rf_f1-macro	product_rf_accuracy	single_manifold_rf_accuracy	sklearn_rf_accuracy	tangent_rf_accuracy	product_rf_time	single_manifold_rf_time	sklearn_rf_time	tangent_rf_time
gaussian	H4	451	0.83	0.82	0.82	0.79	0.6999745456742394	0.7737820607268349	0.6671355183926342	0.5951559698623152	0.83	0.82	0.82	0.79	0.1198732852935791	1.4790585041046143	0.03183889389038086	0.03269052505493164
gaussian	H4	452	0.845	0.885	0.79	0.85	0.5265725129744477	0.7416087982524735	0.484553427703987	0.5669221473934664	0.845	0.885	0.79	0.85	0.12260794639587402	1.1274476051330566	0.03165578842163086	0.034493207931518555
gaussian	H4	453	0.8	0.79	0.835	0.825	0.5018880093430581	0.6792407324619898	0.44901451283922433	0.4854028575802247	0.8	0.79	0.835	0.825	0.11931228637695312	1.5925993919372559	0.0318603515625	0.031986236572265625
gaussian	H4	454	0.755	0.83	0.74	0.79	0.5440904736598662	0.7860481046232672	0.5856147323043113	0.6193032522262758	0.755	0.83	0.74	0.79	0.11882567405700684	1.2649099826812744	0.031331539154052734	0.035074472427368164
gaussian	H4	455	0.735	0.855	0.785	0.79	0.6062402991803926	0.804038450761058	0.6580268749539528	0.6531663090809802	0.735	0.855	0.785	0.79	0.12217926979064941	1.9512851238250732	0.0303041934967041	0.032877445220947266
gaussian	H4	456	0.87	0.83	0.775	0.815	0.8616097088734165	0.8200371291112116	0.7469169759842645	0.8001197161472732	0.87	0.83	0.775	0.815	0.11900830268859863	1.2146515846252441	0.0323023796081543	0.033969879150390625
gaussian	H4	457	0.8	0.775	0.72	0.795	0.6901362683385599	0.7383213974563521	0.5846664891673599	0.7227900930487137	0.8	0.775	0.72	0.795	0.11795949935913086	1.7444226741790771	0.03197288513183594	0.03258109092712402
gaussian	H4	458	0.71	0.81	0.775	0.795	0.5879268980103327	0.7900188545767499	0.6418071887717829	0.7073344832729036	0.71	0.81	0.775	0.795	0.11746072769165039	1.5734848976135254	0.031882286071777344	0.034882307052612305
gaussian	H4	459	0.82	0.775	0.735	0.745	0.5605472100017396	0.7029271240847388	0.5367302427843528	0.5139743350652242	0.82	0.775	0.735	0.745	0.11940407752990723	1.6754837036132812	0.03316545486450195	0.031558990478515625
gaussian	H4	460	0.765	0.82	0.8	0.83	0.6190740308447665	0.7333870704109502	0.6820232782622163	0.7030698172415497	0.765	0.82	0.8	0.83	0.12068295478820801	1.6981956958770752	0.033144474029541016	0.0325009822845459
gaussian	H4	461	0.865	0.91	0.865	0.915	0.7987488821672492	0.8869480737402882	0.8457449667226353	0.8800814865793236	0.865	0.91	0.865	0.915	0.11705636978149414	0.8181352615356445	0.031545400619506836	0.03492927551269531
gaussian	H4	462	0.82	0.84	0.745	0.82	0.6170306545306545	0.7584129336290923	0.5114320615517787	0.6159009403803574	0.82	0.84	0.745	0.82	0.12184786796569824	1.3504669666290283	0.0324709415435791	0.03467440605163574
gaussian	H4	463	0.865	0.805	0.835	0.83	0.7226617596958212	0.7484852271924713	0.7355559063713392	0.7103203395132807	0.865	0.805	0.835	0.83	0.11624789237976074	1.1472625732421875	0.03240466117858887	0.03322339057922363
gaussian	H4	464	0.825	0.885	0.77	0.79	0.6744094618214336	0.76231472397322	0.6234725303670923	0.6164787108966758	0.825	0.885	0.77	0.79	0.11881756782531738	1.0445783138275146	0.033992767333984375	0.034507036209106445
gaussian	H4	465	0.805	0.86	0.855	0.835	0.6115336691191229	0.793961009599877	0.6982287941896621	0.673522329659559	0.805	0.86	0.855	0.835	0.11697030067443848	1.3629493713378906	0.03187203407287598	0.033377647399902344
gaussian	H4	466	0.75	0.84	0.76	0.78	0.5126814266291444	0.7923549630196027	0.5197802779896601	0.5826445401949256	0.75	0.84	0.76	0.78	0.11594247817993164	1.4218993186950684	0.032303810119628906	0.03193306922912598
gaussian	H4	467	0.85	0.88	0.845	0.88	0.537103096895166	0.6345907293955103	0.5273820918478176	0.5533460812436176	0.85	0.88	0.845	0.88	0.11895012855529785	1.1448945999145508	0.0327303409576416	0.033234596252441406
gaussian	H4	468	0.85	0.795	0.78	0.795	0.7408498790566189	0.7073470805026378	0.6599939233390071	0.6508921593899665	0.85	0.795	0.78	0.795	0.11734199523925781	1.5572946071624756	0.03411269187927246	0.0336918830871582
gaussian	H4	469	0.88	0.86	0.8	0.875	0.6697667518859842	0.7563390204586868	0.6074668132481769	0.6667424286779314	0.88	0.86	0.8	0.875	0.11692142486572266	1.0470705032348633	0.032152652740478516	0.03494381904602051
gaussian	H4	470	0.815	0.83	0.765	0.78	0.6817569491567133	0.8142028620333438	0.6107169821524983	0.6032115742408716	0.815	0.83	0.765	0.78	0.11896824836730957	1.4746499061584473	0.03286027908325195	0.03598666191101074
gaussian	H4	471	0.815	0.855	0.755	0.8	0.39484590758312116	0.6714273556847652	0.346232470043279	0.39854081167350663	0.815	0.855	0.755	0.8	0.11896514892578125	1.3436298370361328	0.03245186805725098	0.03218269348144531
gaussian	H4	472	0.84	0.77	0.785	0.835	0.7273923749533505	0.70897205081092	0.6128829216533077	0.7092393717393717	0.84	0.77	0.785	0.835	0.12108254432678223	1.5286486148834229	0.033426523208618164	0.03471732139587402
gaussian	H4	473	0.84	0.835	0.845	0.78	0.7000717227296205	0.7068817387252893	0.6968983948782965	0.5700985434974659	0.84	0.835	0.845	0.78	0.12041807174682617	1.3906302452087402	0.03317975997924805	0.03499293327331543
gaussian	H4	474	0.75	0.755	0.795	0.805	0.6686968612375181	0.7089194491839093	0.7128753003177555	0.7116948422561513	0.75	0.755	0.795	0.805	0.1187431812286377	1.6987943649291992	0.03180980682373047	0.033829689025878906
gaussian	H4	475	0.85	0.865	0.815	0.825	0.5943858748585117	0.7380710389139243	0.5576092734426068	0.5363592170057249	0.85	0.865	0.815	0.825	0.11770844459533691	1.2706246376037598	0.032044410705566406	0.033739328384399414
gaussian	H4	476	0.87	0.81	0.815	0.88	0.8483216962119366	0.7040923608495331	0.7910448286388138	0.8443470221542115	0.87	0.81	0.815	0.88	0.1186225414276123	1.3959167003631592	0.033768415451049805	0.03229045867919922
gaussian	H4	477	0.89	0.875	0.825	0.84	0.7606288417738978	0.8538535568822019	0.6739134536996709	0.6833713321726311	0.89	0.875	0.825	0.84	0.11781859397888184	1.1262364387512207	0.03224778175354004	0.0335993766784668
gaussian	H4	478	0.845	0.895	0.815	0.845	0.6793809638063424	0.8388074132206292	0.6187328347488064	0.645972998951265	0.845	0.895	0.815	0.845	0.11772990226745605	1.2080588340759277	0.032442331314086914	0.03368115425109863
gaussian	H4	479	0.8	0.795	0.755	0.81	0.6688654254786863	0.7657094136897404	0.6471901441142884	0.70349800045357	0.8	0.795	0.755	0.81	0.1220543384552002	1.8735475540161133	0.03223824501037598	0.03580665588378906
gaussian	H4	480	0.765	0.86	0.775	0.765	0.6375528408463179	0.8209255160485694	0.6262402392550677	0.6067631464803844	0.765	0.86	0.775	0.765	0.11592841148376465	1.4071595668792725	0.031905174255371094	0.031156301498413086
gaussian	S4	481	0.595	0.67	0.595	0.545	0.5041737402268711	0.5883004473692073	0.5155442576951419	0.4607181264842293	0.595	0.67	0.595	0.545	0.10311770439147949	2.4135489463806152	0.033765316009521484	0.03218674659729004
gaussian	S4	482	0.66	0.73	0.64	0.645	0.4997277085655333	0.6270703331780907	0.5189130314130315	0.5327185274731748	0.66	0.73	0.64	0.645	0.10250663757324219	2.391413688659668	0.03285670280456543	0.034623146057128906
