dataset	signature	seed	product_rf_f1-micro	sklearn_rf_f1-micro	product_rf_f1-macro	sklearn_rf_f1-macro	product_rf_accuracy	sklearn_rf_accuracy	product_rf_time	sklearn_rf_time
gaussian	HH128	35	0.61	0.67	0.4214094783087572	0.5341942797790951	0.61	0.67	0.4398612976074219	0.03405952453613281
gaussian	HH128	36	0.615	0.59	0.43550903734083585	0.4616037319891275	0.615	0.59	0.4265594482421875	0.03324460983276367
gaussian	HH128	37	0.65	0.63	0.5222748059055418	0.48384291549067815	0.65	0.63	0.4497559070587158	0.033022165298461914
gaussian	HH128	38	0.645	0.585	0.4857958148722381	0.49059574825721075	0.645	0.585	0.45412445068359375	0.034371376037597656
gaussian	HH128	39	0.585	0.645	0.4739720189459297	0.5456686161992141	0.585	0.645	0.445711612701416	0.032079458236694336
gaussian	HH128	40	0.675	0.625	0.5121596021231619	0.45653474085417095	0.675	0.625	0.4379861354827881	0.03193402290344238
gaussian	SS128	41	0.47	0.56	0.353759187235664	0.45923005610157375	0.47	0.56	0.42615270614624023	0.03287339210510254
gaussian	SS128	42	0.545	0.635	0.5181168967679153	0.5942492654388538	0.545	0.635	0.4299283027648926	0.03216075897216797
gaussian	SS128	43	0.565	0.6	0.45149640853701656	0.4821463464270585	0.565	0.6	0.42380332946777344	0.03146862983703613
gaussian	SS128	44	0.525	0.575	0.4097536312254054	0.49260323680685014	0.525	0.575	0.4254953861236572	0.032921791076660156
gaussian	SS128	45	0.57	0.57	0.4343616982351721	0.424134824870119	0.57	0.57	0.4271507263183594	0.032445669174194336
gaussian	SS128	46	0.56	0.55	0.4679128584355091	0.46477661251296476	0.56	0.55	0.4286205768585205	0.03342032432556152
gaussian	SS128	47	0.56	0.535	0.497331198261602	0.43837176087493146	0.56	0.535	0.43014049530029297	0.03292679786682129
gaussian	SS128	48	0.505	0.5	0.5008568829949742	0.5062021531414624	0.505	0.5	0.42349958419799805	0.03278613090515137
gaussian	SS128	49	0.52	0.555	0.46776816080094763	0.51484890984408	0.52	0.555	0.42650580406188965	0.03246641159057617
gaussian	SS128	50	0.61	0.605	0.5862373841081552	0.6021510189572217	0.61	0.605	0.42676472663879395	0.03225994110107422
gaussian	HS128	51	0.615	0.63	0.4566545712379046	0.4773813955962132	0.615	0.63	0.44626688957214355	0.032737016677856445
gaussian	HS128	52	0.515	0.575	0.3427630080855887	0.4046068754042892	0.515	0.575	0.44307684898376465	0.03243231773376465
gaussian	HS128	53	0.525	0.55	0.43512235125423215	0.4301821406453301	0.525	0.55	0.42681002616882324	0.032367706298828125
gaussian	HS128	54	0.495	0.57	0.45893104625330217	0.5574412979011683	0.495	0.57	0.435025691986084	0.03318619728088379
gaussian	HS128	55	0.545	0.585	0.4715746345102555	0.5444534287255338	0.545	0.585	0.43275880813598633	0.033843278884887695
