sklearn_dt_f1-micro	sklearn_dt_accuracy	sklearn_dt_time	sklearn_rf_f1-micro	sklearn_rf_accuracy	sklearn_rf_time	product_dt_f1-micro	product_dt_accuracy	product_dt_time	product_rf_f1-micro	product_rf_accuracy	product_rf_time	tangent_dt_f1-micro	tangent_dt_accuracy	tangent_dt_time	tangent_rf_f1-micro	tangent_rf_accuracy	tangent_rf_time	knn_f1-micro	knn_accuracy	knn_time	ps_perceptron_f1-micro	ps_perceptron_accuracy	ps_perceptron_time	ambient_mlp_f1-micro	ambient_mlp_accuracy	ambient_mlp_time	ambient_gnn_f1-micro	ambient_gnn_accuracy	ambient_gnn_time	kappa_gcn_f1-micro	kappa_gcn_accuracy	kappa_gcn_time	product_mlr_f1-micro	product_mlr_accuracy	product_mlr_time	signature	seed
0.285	0.285	0.002778768539428711	0.335	0.335	0.026781082153320312	0.34	0.34	0.037251949310302734	0.39	0.39	0.4243001937866211	0.315	0.315	0.002061128616333008	0.335	0.335	0.02702617645263672	0.35	0.35	0.0032477378845214844	0.32	0.32	0.012247085571289062	0.31	0.31	32.903570890426636	0.26	0.26	41.322774171829224	0.105	0.105	70.18523502349854	0.265	0.265	35.62126064300537	HS	29
0.275	0.275	0.002844572067260742	0.34	0.34	0.026160478591918945	0.32	0.32	0.039556264877319336	0.365	0.365	0.43548059463500977	0.28	0.28	0.002080202102661133	0.345	0.345	0.027462005615234375	0.365	0.365	0.0031821727752685547	0.235	0.235	0.011767387390136719	0.295	0.295	32.617445945739746	0.27	0.27	41.52887582778931	0.07	0.07	75.12660479545593	0.07	0.07	35.887259006500244	SS	30
0.27	0.27	0.0027430057525634766	0.305	0.305	0.027436494827270508	0.29	0.29	0.03689432144165039	0.305	0.305	0.4141414165496826	0.3	0.3	0.002039194107055664	0.28	0.28	0.026825428009033203	0.34	0.34	0.002889394760131836	0.21	0.21	0.012010335922241211	0.275	0.275	32.46947979927063	0.205	0.205	40.94908785820007	0.08	0.08	75.45602130889893	0.08	0.08	35.14451241493225	SS	31
0.345	0.345	0.0028443336486816406	0.44	0.44	0.02697134017944336	0.4	0.4	0.03647565841674805	0.405	0.405	0.4263179302215576	0.385	0.385	0.002080202102661133	0.425	0.425	0.027631521224975586	0.455	0.455	0.002893686294555664	0.24	0.24	0.014085769653320312	0.365	0.365	32.807823181152344	0.3	0.3	41.22287726402283	0.3	0.3	74.04718661308289	0.3	0.3	35.2730507850647	SS	32
0.31	0.31	0.002819538116455078	0.34	0.34	0.026611328125	0.32	0.32	0.03929615020751953	0.345	0.345	0.4570620059967041	0.31	0.31	0.0020711421966552734	0.355	0.355	0.028218746185302734	0.4	0.4	0.003003358840942383	0.205	0.205	0.012325525283813477	0.26	0.26	32.87819743156433	0.22	0.22	41.30718278884888	0.21	0.21	74.55479073524475	0.175	0.175	35.48525547981262	SS	33
0.335	0.335	0.002757549285888672	0.335	0.335	0.027965068817138672	0.31	0.31	0.03843069076538086	0.365	0.365	0.4238109588623047	0.325	0.325	0.0020415782928466797	0.37	0.37	0.026807069778442383	0.31	0.31	0.002940654754638672	0.305	0.305	0.011780738830566406	0.315	0.315	32.68195629119873	0.25	0.25	41.160770654678345	0.13	0.13	75.07776999473572	0.13	0.13	35.107661724090576	SS	34
0.39	0.39	0.002879619598388672	0.38	0.38	0.027354001998901367	0.405	0.405	0.03966474533081055	0.395	0.395	0.4375596046447754	0.39	0.39	0.0021190643310546875	0.39	0.39	0.02664470672607422	0.375	0.375	0.0029633045196533203	0.26	0.26	0.01181936264038086	0.365	0.365	33.51529574394226	0.235	0.235	40.9564049243927	0.11	0.11	75.27554988861084	0.11	0.11	35.40612244606018	SS	35
0.315	0.315	0.0027496814727783203	0.34	0.34	0.02837991714477539	0.33	0.33	0.0387578010559082	0.39	0.39	0.43822240829467773	0.345	0.345	0.0020265579223632812	0.31	0.31	0.026947975158691406	0.375	0.375	0.002900362014770508	0.235	0.235	0.01194620132446289	0.245	0.245	32.98829936981201	0.2	0.2	41.43609857559204	0.185	0.185	74.85534715652466	0.115	0.115	35.31633162498474	SS	36
0.35	0.35	0.002773761749267578	0.31	0.31	0.028625011444091797	0.29	0.29	0.0395817756652832	0.34	0.34	0.4428281784057617	0.275	0.275	0.0020444393157958984	0.33	0.33	0.026884794235229492	0.285	0.285	0.0030672550201416016	0.18	0.18	0.012347698211669922	0.265	0.265	32.51370549201965	0.21	0.21	41.06511306762695	0.11	0.11	74.84372425079346	0.11	0.11	35.386842250823975	SS	37
0.365	0.365	0.0027899742126464844	0.43	0.43	0.027707338333129883	0.33	0.33	0.03757143020629883	0.43	0.43	0.4419069290161133	0.38	0.38	0.0020437240600585938	0.415	0.415	0.026725053787231445	0.41	0.41	0.0029556751251220703	0.32	0.32	0.011808633804321289	0.35	0.35	33.0848274230957	0.295	0.295	41.16894817352295	0.045	0.045	75.08630013465881	0.045	0.045	35.21462965011597	SS	38
0.325	0.325	0.002777576446533203	0.315	0.315	0.027464628219604492	0.32	0.32	0.04220890998840332	0.335	0.335	0.44795942306518555	0.35	0.35	0.0020837783813476562	0.35	0.35	0.027543067932128906	0.34	0.34	0.002817869186401367	0.32	0.32	0.01318979263305664	0.315	0.315	32.42047929763794	0.285	0.285	41.193700075149536	0.205	0.205	75.17384886741638	0.205	0.205	35.72118878364563	SS	39
0.355	0.355	0.0024242401123046875	0.355	0.355	0.026845932006835938	0.32	0.32	0.032991886138916016	0.395	0.395	0.3757338523864746	0.355	0.355	0.0020444393157958984	0.375	0.375	0.027333736419677734	0.32	0.32	0.0027790069580078125	0.32	0.32	0.011661767959594727	0.3	0.3	34.984883546829224	0.295	0.295	44.40806198120117	0.12	0.12	63.204341888427734	0.24	0.24	31.00587224960327	SE	40
0.34	0.34	0.0024003982543945312	0.375	0.375	0.02777862548828125	0.32	0.32	0.038668155670166016	0.37	0.37	0.44199585914611816	0.3	0.3	0.0020456314086914062	0.38	0.38	0.027163028717041016	0.38	0.38	0.002991199493408203	0.28	0.28	0.01209115982055664	0.29	0.29	35.130781173706055	0.22	0.22	44.14784097671509	0.225	0.225	63.78071188926697	0.16	0.16	31.04407525062561	SE	41
0.27	0.27	0.002443075180053711	0.325	0.325	0.027904987335205078	0.31	0.31	0.037165164947509766	0.345	0.345	0.41837096214294434	0.25	0.25	0.0020241737365722656	0.3	0.3	0.02715015411376953	0.37	0.37	0.0026793479919433594	0.16	0.16	0.011381387710571289	0.27	0.27	34.768325090408325	0.255	0.255	44.28567600250244	0.235	0.235	63.260231256484985	0.175	0.175	31.04692029953003	SE	42
