sklearn_dt_f1-micro	sklearn_dt_accuracy	sklearn_dt_time	sklearn_rf_f1-micro	sklearn_rf_accuracy	sklearn_rf_time	product_dt_f1-micro	product_dt_accuracy	product_dt_time	product_rf_f1-micro	product_rf_accuracy	product_rf_time	tangent_dt_f1-micro	tangent_dt_accuracy	tangent_dt_time	tangent_rf_f1-micro	tangent_rf_accuracy	tangent_rf_time	knn_f1-micro	knn_accuracy	knn_time	ps_perceptron_f1-micro	ps_perceptron_accuracy	ps_perceptron_time	ambient_mlp_f1-micro	ambient_mlp_accuracy	ambient_mlp_time	ambient_gnn_f1-micro	ambient_gnn_accuracy	ambient_gnn_time	kappa_gcn_f1-micro	kappa_gcn_accuracy	kappa_gcn_time	product_mlr_f1-micro	product_mlr_accuracy	product_mlr_time	dataset	seed	sklearn_dt_rmse	sklearn_rf_rmse	product_dt_rmse	product_rf_rmse	tangent_dt_rmse	tangent_rf_rmse	knn_rmse	ambient_mlp_rmse	ambient_gnn_rmse	kappa_gcn_rmse	product_mlr_rmse
0.7735849056603774	0.7735849056603774	0.0016069412231445312	0.7641509433962265	0.7641509433962265	0.03406643867492676	0.7641509433962265	0.7641509433962265	0.008395671844482422	0.7641509433962265	0.7641509433962265	0.10044384002685547	0.7641509433962265	0.7641509433962265	0.0017199516296386719	0.7735849056603774	0.7735849056603774	0.03518819808959961	0.5188679245283019	0.5188679245283019	0.005186319351196289	0.5377358490566038	0.5377358490566038	0.004338741302490234	0.49056603773584906	0.49056603773584906	35.245769739151	0.5660377358490566	0.5660377358490566	44.39811849594116	0.5660377358490566	0.5660377358490566	352.4062213897705	0.4528301886792453	0.4528301886792453	127.75122284889221	neuron_33	0											
0.8018867924528302	0.8018867924528302	0.0017158985137939453	0.7641509433962265	0.7641509433962265	0.034976959228515625	0.7358490566037735	0.7358490566037735	0.008461236953735352	0.7641509433962265	0.7641509433962265	0.10374903678894043	0.7169811320754716	0.7169811320754716	0.0017883777618408203	0.7358490566037735	0.7358490566037735	0.03508496284484863	0.49056603773584906	0.49056603773584906	0.005580902099609375	0.5849056603773585	0.5849056603773585	0.004338741302490234	0.41509433962264153	0.41509433962264153	34.55207896232605	0.41509433962264153	0.41509433962264153	44.15234923362732	0.41509433962264153	0.41509433962264153	350.9962303638458	0.41509433962264153	0.41509433962264153	125.95766186714172	neuron_33	1											
0.8113207547169812	0.8113207547169812	0.0016014575958251953	0.8113207547169812	0.8113207547169812	0.037039756774902344	0.7924528301886793	0.7924528301886793	0.008393049240112305	0.8113207547169812	0.8113207547169812	0.1300203800201416	0.7924528301886793	0.7924528301886793	0.0017840862274169922	0.8018867924528302	0.8018867924528302	0.03398919105529785	0.5566037735849056	0.5566037735849056	0.005132913589477539	0.5754716981132075	0.5754716981132075	0.004278421401977539	0.41509433962264153	0.41509433962264153	33.96694016456604	0.41509433962264153	0.41509433962264153	44.50026488304138	0.42452830188679247	0.42452830188679247	350.49426341056824	0.42452830188679247	0.42452830188679247	130.81839656829834	neuron_33	2											
0.7547169811320755	0.7547169811320755	0.0016164779663085938	0.7547169811320755	0.7547169811320755	0.036641597747802734	0.7452830188679245	0.7452830188679245	0.00831151008605957	0.7358490566037735	0.7358490566037735	0.12262129783630371	0.7452830188679245	0.7452830188679245	0.001707315444946289	0.7264150943396226	0.7264150943396226	0.03521418571472168	0.46226415094339623	0.46226415094339623	0.0051229000091552734	0.5377358490566038	0.5377358490566038	0.0043277740478515625	0.4811320754716981	0.4811320754716981	35.38915657997131	0.4811320754716981	0.4811320754716981	44.91356182098389	0.4811320754716981	0.4811320754716981	351.2565219402313	0.4811320754716981	0.4811320754716981	129.80232644081116	neuron_33	3											
0.7547169811320755	0.7547169811320755	0.0016431808471679688	0.8113207547169812	0.8113207547169812	0.034639596939086914	0.7358490566037735	0.7358490566037735	0.008427143096923828	0.7452830188679245	0.7452830188679245	0.1132514476776123	0.7547169811320755	0.7547169811320755	0.001745462417602539	0.7547169811320755	0.7547169811320755	0.03408670425415039	0.4716981132075472	0.4716981132075472	0.005169868469238281	0.5754716981132075	0.5754716981132075	0.004346370697021484	0.42452830188679247	0.42452830188679247	34.41434979438782	0.42452830188679247	0.42452830188679247	44.3987934589386	0.5566037735849056	0.5566037735849056	344.196653842926	0.42452830188679247	0.42452830188679247	141.00588536262512	neuron_33	4											
0.8113207547169812	0.8113207547169812	0.001688241958618164	0.7924528301886793	0.7924528301886793	0.03304910659790039	0.7641509433962265	0.7641509433962265	0.008510112762451172	0.7924528301886793	0.7924528301886793	0.1138908863067627	0.7830188679245284	0.7830188679245284	0.0017745494842529297	0.7735849056603774	0.7735849056603774	0.03583574295043945	0.4716981132075472	0.4716981132075472	0.005190134048461914	0.5188679245283019	0.5188679245283019	0.004347801208496094	0.5377358490566038	0.5377358490566038	35.446136236190796	0.5377358490566038	0.5377358490566038	44.072012424468994	0.5377358490566038	0.5377358490566038	353.9104206562042	0.5377358490566038	0.5377358490566038	164.31171488761902	neuron_33	5											
0.8773584905660378	0.8773584905660378	0.0016934871673583984	0.8679245283018868	0.8679245283018868	0.03571963310241699	0.8679245283018868	0.8679245283018868	0.008625984191894531	0.8773584905660378	0.8773584905660378	0.11329030990600586	0.8773584905660378	0.8773584905660378	0.0017490386962890625	0.8867924528301887	0.8867924528301887	0.03327131271362305	0.42452830188679247	0.42452830188679247	0.005153656005859375	0.5754716981132075	0.5754716981132075	0.004410505294799805	0.42452830188679247	0.42452830188679247	35.146164417266846	0.49056603773584906	0.49056603773584906	44.90114188194275	0.42452830188679247	0.42452830188679247	352.4875853061676	0.5188679245283019	0.5188679245283019	141.9616243839264	neuron_33	6											
0.7924528301886793	0.7924528301886793	0.0016987323760986328	0.8018867924528302	0.8018867924528302	0.035462141036987305	0.7924528301886793	0.7924528301886793	0.00841379165649414	0.7830188679245284	0.7830188679245284	0.10535812377929688	0.7924528301886793	0.7924528301886793	0.0017387866973876953	0.7452830188679245	0.7452830188679245	0.03512001037597656	0.5566037735849056	0.5566037735849056	0.005117893218994141	0.5377358490566038	0.5377358490566038	0.004358768463134766	0.4528301886792453	0.4528301886792453	35.21577191352844	0.46226415094339623	0.46226415094339623	44.400676250457764	0.46226415094339623	0.46226415094339623	352.2980890274048	0.5	0.5	141.38089632987976	neuron_33	7											
0.7641509433962265	0.7641509433962265	0.001645803451538086	0.7547169811320755	0.7547169811320755	0.034867048263549805	0.7358490566037735	0.7358490566037735	0.010537862777709961	0.7452830188679245	0.7452830188679245	0.12308382987976074	0.7452830188679245	0.7452830188679245	0.0017642974853515625	0.7547169811320755	0.7547169811320755	0.03466296195983887	0.5754716981132075	0.5754716981132075	0.00510096549987793	0.5094339622641509	0.5094339622641509	0.0043506622314453125	0.46226415094339623	0.46226415094339623	34.97269868850708	0.5094339622641509	0.5094339622641509	44.87139320373535	0.5094339622641509	0.5094339622641509	352.86165285110474	0.5094339622641509	0.5094339622641509	127.49953174591064	neuron_33	8											
0.7264150943396226	0.7264150943396226	0.0016248226165771484	0.7358490566037735	0.7358490566037735	0.036099910736083984	0.7358490566037735	0.7358490566037735	0.010909795761108398	0.7358490566037735	0.7358490566037735	0.12157320976257324	0.7169811320754716	0.7169811320754716	0.001840353012084961	0.7075471698113207	0.7075471698113207	0.034276723861694336	0.5471698113207547	0.5471698113207547	0.0050373077392578125	0.5188679245283019	0.5188679245283019	0.004359245300292969	0.5094339622641509	0.5094339622641509	34.75650763511658	0.5094339622641509	0.5094339622641509	43.74601697921753	0.5094339622641509	0.5094339622641509	351.98359537124634	0.5094339622641509	0.5094339622641509	133.67112922668457	neuron_33	9											
