curvature	seed	product_dt_rmse	product_dt_time	product_rf_rmse	product_rf_time	tangent_mlp_rmse	tangent_mlp_time	ambient_mlp_rmse	ambient_mlp_time	tangent_gnn_rmse	tangent_gnn_time	ambient_gnn_rmse	ambient_gnn_time
-2.0	12	0.2091566	0.010811805725097656	0.20445403	0.11893534660339355	0.3392658	0.8117794990539551	0.22394606	0.8473451137542725	0.25670984	5.2024853229522705	11.826174	5.187341928482056
-2.0	13	0.1866495	0.009741067886352539	0.18508366	0.11444902420043945	0.3237889	0.7948362827301025	0.37171102	0.8095953464508057	0.51613283	5.184680223464966	138.83018	5.1862547397613525
-2.0	14	0.22114575	0.01005244255065918	0.2183501	0.11345934867858887	0.3591322	0.7775139808654785	0.22190431	0.800377368927002	0.25256917	5.197400331497192	5.9445524	5.186026334762573
-2.0	15	0.1655172	0.010213851928710938	0.16153613	0.11501932144165039	0.32160905	0.7802605628967285	0.6303564	0.8006992340087891	0.6983172	5.201781272888184	492.614	5.186189413070679
-2.0	16	0.19114415	0.009810209274291992	0.19250974	0.11073446273803711	0.31134826	0.765141487121582	0.20666443	0.8241958618164062	0.23970266	5.207357168197632	14.771846	5.190440893173218
-2.0	17	0.20892864	0.010512351989746094	0.20329843	0.11632347106933594	0.32841617	0.8047580718994141	0.22255994	0.843250036239624	0.41155836	5.20157790184021	58.928776	5.199179410934448
-2.0	18	0.2528901	0.010215997695922852	0.24683991	0.11579155921936035	0.38977367	0.7850043773651123	0.32978997	0.8379144668579102	0.46408188	5.187384843826294	54.45798	5.187118053436279
-2.0	19	0.20421979	0.010198354721069336	0.19863777	0.11269259452819824	0.3465474	0.8019495010375977	0.24154402	0.7975783348083496	0.33351293	5.227107048034668	432.83005	5.191551923751831
-1.0	20	0.21809065	0.010101079940795898	0.2096474	0.11257600784301758	0.31945425	0.7737445831298828	0.21013518	0.8166453838348389	0.26244697	5.188939332962036	2.6008263	5.185310363769531
-1.0	21	0.18634942	0.010100126266479492	0.18587545	0.11623311042785645	0.32608008	0.7616300582885742	0.19853504	0.8007609844207764	0.37033758	5.182132959365845	4.9787135	5.175311803817749
-1.0	22	0.16608384	0.010172128677368164	0.15972191	0.11492061614990234	0.29704607	0.7592778205871582	0.2601874	0.8150444030761719	0.30152544	5.188992500305176	9.078085	5.192049503326416
-1.0	23	0.17593785	0.010028839111328125	0.17509489	0.12009191513061523	0.29172987	0.7737395763397217	0.3592523	0.7973694801330566	1.0874766	5.188495635986328	174.06355	5.185875654220581
-1.0	24	0.22095165	0.010486125946044922	0.21723068	0.11667799949645996	0.29200804	0.7577052116394043	0.22197847	0.7855002880096436	0.39344278	5.184405565261841	4.6401844	5.177741289138794
-1.0	25	0.20141736	0.010243654251098633	0.19938624	0.11382246017456055	0.3109849	0.7667438983917236	0.20101428	0.8188991546630859	0.95500064	5.193496942520142	18.357248	5.192004919052124
-1.0	26	0.16528603	0.009714126586914062	0.15856862	0.1081092357635498	0.33327907	0.7573604583740234	0.21600524	0.79483962059021	0.4168982	5.195267915725708	57.066143	5.191455364227295
-1.0	27	0.18067527	0.009743928909301758	0.18528454	0.10838055610656738	0.33376434	0.7441318035125732	0.5943546	0.774289608001709	0.6621513	5.187299966812134	21.551512	5.1765570640563965
-1.0	28	0.20478986	0.010055065155029297	0.2019022	0.11098027229309082	0.29263663	0.7807047367095947	0.24043506	0.8012192249298096	0.23620157	5.185128927230835	2.643506	5.181650876998901
-1.0	29	0.18922985	0.010343551635742188	0.18496248	0.11447477340698242	0.35505748	0.7673587799072266	0.20099302	0.8003180027008057	0.44681743	5.185044288635254	41.011333	5.1862616539001465
-0.5	30	0.18272278	0.01018977165222168	0.17748071	0.11794328689575195	0.3486452	0.7602713108062744	0.18480086	0.8035552501678467	0.2002519	5.191555023193359	0.664681	5.182745933532715
-0.5	31	0.17905591	0.009902000427246094	0.17748006	0.11185145378112793	0.30966634	0.7497720718383789	0.18632735	0.7975645065307617	0.2231895	5.191649913787842	0.7022331	5.1866841316223145
-0.5	32	0.15435277	0.010245084762573242	0.15237466	0.11671710014343262	0.28471494	0.769606351852417	0.15829527	0.8027589321136475	0.39380777	5.18611741065979	1.0492294	5.176599502563477
-0.5	33	0.15793417	0.009911775588989258	0.1549399	0.11216950416564941	0.37589738	0.7713689804077148	0.16016774	0.7761576175689697	0.19015098	5.187418222427368	1.0964355	5.1913228034973145
-0.5	34	0.19939989	0.009581327438354492	0.19630286	0.1090550422668457	0.29806253	0.772913932800293	0.20120506	0.776890754699707	0.30229646	5.1881492137908936	0.46983188	5.179975509643555
-0.5	35	0.18127505	0.009904623031616211	0.17501403	0.11361861228942871	0.34044492	0.7642793655395508	0.1811909	0.8187615871429443	0.33583382	5.1859352588653564	1.0794868	5.182858943939209
-0.5	36	0.21120022	0.009563684463500977	0.20795946	0.11087393760681152	0.2967247	0.7624044418334961	0.2102917	0.8150284290313721	0.21121742	5.179218053817749	0.26975426	5.1791322231292725
-0.5	37	0.20321167	0.009990930557250977	0.20031586	0.11315679550170898	0.33393744	0.7839062213897705	0.20504689	0.818866491317749	0.36742496	5.182388782501221	1.4523855	5.181187391281128
-0.5	38	0.21590535	0.009826183319091797	0.20952107	0.13031864166259766	0.3206779	0.7869405746459961	0.22867888	0.8129572868347168	0.6029253	5.191015243530273	1.9329327	5.18603777885437
-0.5	39	0.220009	0.010023117065429688	0.21505992	0.11377739906311035	0.32876277	0.760807991027832	0.22496912	0.8047764301300049	0.26131532	5.187541484832764	0.76725554	5.1927649974823
-0.25	40	0.1804953	0.010204553604125977	0.17929545	0.11598062515258789	0.29665855	0.7695813179016113	0.18495575	0.8119659423828125	0.26718888	5.192691802978516	0.3803731	5.194998741149902
-0.25	41	0.22059792	0.010145425796508789	0.21527529	0.11615467071533203	0.37505928	0.7706809043884277	0.23106824	0.8174726963043213	0.5426482	5.20653772354126	0.77533615	5.201071500778198
-0.25	42	0.19803627	0.009908437728881836	0.1926721	0.11083173751831055	0.33765215	0.7606468200683594	0.20567803	0.8030033111572266	0.32076102	5.206616640090942	0.33402854	5.197023630142212
-0.25	43	0.17980881	0.010458946228027344	0.17985286	0.11974883079528809	0.30311722	0.8042166233062744	0.18868744	0.8505561351776123	0.21542008	5.2039265632629395	0.48269287	5.204693794250488
