signature	seed	sklearn_dt_rmse	sklearn_dt_time	sklearn_rf_rmse	sklearn_rf_time	product_dt_rmse	product_dt_time	product_rf_rmse	product_rf_time	tangent_dt_rmse	tangent_dt_time	tangent_rf_rmse	tangent_rf_time	knn_rmse	knn_time	tangent_mlp_rmse	tangent_mlp_time	ambient_mlp_rmse	ambient_mlp_time	tangent_gnn_rmse	tangent_gnn_time	ambient_gnn_rmse	ambient_gnn_time
HE	10	0.2094376492849021	0.001317739486694336	0.20092045686003954	0.015757322311401367	0.18879084	0.01092672348022461	0.19628678	0.11740422248840332	0.2089882678560983	0.0011341571807861328	0.20106528450596506	0.015670299530029297	0.20312873	0.0030317306518554688	0.331857	0.7677919864654541	0.21582094	0.7965614795684814	0.23310669	5.197132349014282	1.9466608	5.2074666023254395
HE	11	0.1894727842686885	0.001287221908569336	0.19336000455627508	0.015825510025024414	0.18575849	0.010672330856323242	0.19206488	0.11629128456115723	0.191721943903579	0.0011334419250488281	0.19310173482318618	0.015913724899291992	0.1995247	0.003175973892211914	0.31712162	0.7664494514465332	0.20603792	0.796760082244873	0.36043453	5.1997294425964355	1.1827594	5.205061435699463
HE	12	0.18689072266421858	0.0012934207916259766	0.18680151321450658	0.01589226722717285	0.18706945	0.010675191879272461	0.19001587	0.11362433433532715	0.19043851368054043	0.0011391639709472656	0.1883846024145408	0.02623581886291504	0.1944662	0.003124713897705078	0.3402173	0.7651262283325195	0.19234353	0.8126485347747803	0.9627839	5.207166433334351	3.4106824	5.198092699050903
HE	13	0.24188073577482677	0.0013461112976074219	0.22689177795059917	0.015921354293823242	0.24655855	0.011327266693115234	0.22686307	0.11355972290039062	0.24364635318415465	0.0011138916015625	0.22768773770049705	0.015662193298339844	0.22726135	0.002974987030029297	0.41734114	0.7726078033447266	0.23092285	0.8046596050262451	0.32240364	5.197743892669678	2.6668391	5.209022760391235
HE	14	0.2280969151024526	0.0013132095336914062	0.21720541654261324	0.015741348266601562	0.21815498	0.010461091995239258	0.21767436	0.11539578437805176	0.22931381017109914	0.0011172294616699219	0.21990345401956599	0.015709400177001953	0.2270699	0.0029489994049072266	0.31523305	0.7650482654571533	0.2292647	0.8250036239624023	0.23632102	5.20249605178833	1.6612986	5.207840919494629
HE	15	0.17394745999750358	0.0013065338134765625	0.17047961791665348	0.015785932540893555	0.16793044	0.011370182037353516	0.166623	0.11576151847839355	0.17434825480804733	0.0010895729064941406	0.170650167990026	0.01567387580871582	0.16907586	0.0029685497283935547	0.30605638	0.7754426002502441	0.1789078	0.7897734642028809	0.52430767	5.20755934715271	2.655788	5.1977949142456055
HE	16	0.17915955508242273	0.0013244152069091797	0.17218640047267758	0.015819787979125977	0.18605864	0.010452508926391602	0.17049369	0.1169281005859375	0.17794129722354574	0.0011343955993652344	0.16994576043396706	0.015883684158325195	0.1725759	0.003136873245239258	0.26890868	0.779188871383667	0.18728684	0.7967381477355957	0.78175825	5.193618535995483	4.9307847	5.206637620925903
HE	17	0.2112877741275141	0.0012712478637695312	0.19812543332273716	0.015870332717895508	0.19855049	0.011022806167602539	0.19714491	0.11938691139221191	0.20898695120803049	0.0011301040649414062	0.19784646933815636	0.01572132110595703	0.21439831	0.0031385421752929688	0.33258334	0.77317214012146	0.2085456	0.7975170612335205	0.26950607	5.197230100631714	2.0764906	5.197432518005371
HE	18	0.22719737028359416	0.0012912750244140625	0.2168569326259629	0.01594090461730957	0.21761426	0.010634660720825195	0.21199791	0.1121680736541748	0.22377926408731236	0.0010900497436523438	0.21745500160800368	0.01569843292236328	0.21996711	0.0030357837677001953	0.32547536	0.7856419086456299	0.223486	0.8137283325195312	0.2552605	5.195921421051025	1.8079864	5.199949502944946
HE	19	0.246861562180425	0.0012819766998291016	0.23626357426704492	0.02636551856994629	0.23342814	0.010790586471557617	0.23259325	0.11573672294616699	0.23691605371949526	0.001100778579711914	0.23148988057978473	0.015608072280883789	0.2298793	0.0030422210693359375	0.30036145	0.7830371856689453	0.24290106	0.7883312702178955	0.25968862	5.20321798324585	1.5694338	5.186615705490112
HS	20	0.17703126665744723	0.001461029052734375	0.16408593110390157	0.01565408706665039	0.1682457	0.010696172714233398	0.1632196	0.11270523071289062	0.16678584085358228	0.0011067390441894531	0.1635840959146257	0.015528202056884766	0.16363852	0.0031011104583740234	0.32424676	0.7626667022705078	0.16655429	0.7989633083343506	0.2688359	5.200616836547852	5.5290685	5.194867134094238
HS	21	0.19782613758250508	0.0015189647674560547	0.1860761450118711	0.015833139419555664	0.18866266	0.010406732559204102	0.18644445	0.11359524726867676	0.1838391226535448	0.0011377334594726562	0.18225702779067837	0.01616644859313965	0.18088865	0.003090381622314453	0.30903524	0.7794332504272461	0.20102215	0.8280322551727295	0.23313841	5.187182664871216	1.9908322	5.187937259674072
HS	22	0.21199657407455344	0.0014476776123046875	0.20042030258757698	0.015786170959472656	0.20719704	0.010565996170043945	0.21044356	0.11404824256896973	0.20704441896273085	0.0011146068572998047	0.199461551191099	0.015819787979125977	0.20740601	0.003062725067138672	0.3273941	0.783139705657959	0.23663238	0.8260154724121094	0.3678617	5.184506893157959	4.963763	5.183524131774902
HS	23	0.24144918492931314	0.001514434814453125	0.24175179346763545	0.01609659194946289	0.24621992	0.010558128356933594	0.24235515	0.11219143867492676	0.2453723453647167	0.001092672348022461	0.2386925215447899	0.015760183334350586	0.23307338	0.0030565261840820312	0.3853984	0.7579076290130615	0.24984552	0.7937955856323242	0.26260623	5.2066802978515625	2.0943503	5.200280427932739
HS	24	0.20992612487282772	0.00145721435546875	0.20166671024417684	0.01574230194091797	0.20628968	0.010406732559204102	0.20699315	0.11243462562561035	0.20258838036054422	0.0010867118835449219	0.20416120473071908	0.015743017196655273	0.20243189	0.003002643585205078	0.31564602	0.7610855102539062	0.2093702	0.7989089488983154	0.22576946	5.187258720397949	1.9450834	5.180971145629883
HS	25	0.2046334896850496	0.0015168190002441406	0.19120925157615898	0.015866518020629883	0.19550483	0.010114669799804688	0.19389962	0.11075520515441895	0.20389080217433847	0.0011410713195800781	0.1910553580639987	0.01571202278137207	0.19148588	0.0031745433807373047	0.258608	0.7737922668457031	0.20444751	0.8192393779754639	0.22505844	5.187498331069946	1.565754	5.175829648971558
