sklearn_dt_f1-micro	sklearn_dt_accuracy	sklearn_dt_time	sklearn_rf_f1-micro	sklearn_rf_accuracy	sklearn_rf_time	product_dt_f1-micro	product_dt_accuracy	product_dt_time	product_rf_f1-micro	product_rf_accuracy	product_rf_time	tangent_dt_f1-micro	tangent_dt_accuracy	tangent_dt_time	tangent_rf_f1-micro	tangent_rf_accuracy	tangent_rf_time	knn_f1-micro	knn_accuracy	knn_time	ps_perceptron_f1-micro	ps_perceptron_accuracy	ps_perceptron_time	svm_f1-micro	svm_accuracy	svm_time	ps_svm_f1-micro	ps_svm_accuracy	ps_svm_time	ambient_mlp_f1-micro	ambient_mlp_accuracy	ambient_mlp_time	tangent_mlp_f1-micro	tangent_mlp_accuracy	tangent_mlp_time	ambient_gnn_f1-micro	ambient_gnn_accuracy	ambient_gnn_time	kappa_gcn_f1-micro	kappa_gcn_accuracy	kappa_gcn_time	product_mlr_f1-micro	product_mlr_accuracy	product_mlr_time	curvature	seed
0.285	0.285	0.001214742660522461	0.295	0.295	0.03300166130065918	0.325	0.325	0.013394832611083984	0.325	0.325	0.10214877128601074	0.28	0.28	0.0009431838989257812	0.315	0.315	0.034331560134887695	0.235	0.235	0.0024738311767578125	0.205	0.205	0.010534524917602539	0.165	0.165	0.00639033317565918	0.165	0.165	1.4980947971343994	0.185	0.185	4.257733345031738	0.29	0.29	4.285261392593384	0.205	0.205	6.303772211074829	0.065	0.065	9.172420501708984	0.315	0.315	2.8014957904815674	-1.0	27
0.23	0.23	0.0012502670288085938	0.275	0.275	0.03354644775390625	0.235	0.235	0.009765386581420898	0.305	0.305	0.10345602035522461	0.24	0.24	0.0009968280792236328	0.235	0.235	0.034605979919433594	0.26	0.26	0.002642393112182617	0.1	0.1	0.010582685470581055	0.17	0.17	0.0074236392974853516	0.175	0.175	1.5159876346588135	0.245	0.245	7.674638509750366	0.205	0.205	7.7390687465667725	0.18	0.18	6.158189535140991	0.1	0.1	8.364193439483643	0.25	0.25	2.8510799407958984	-1.0	28
0.26	0.26	0.0013804435729980469	0.28	0.28	0.03292226791381836	0.285	0.285	0.017711877822875977	0.28	0.28	0.10347867012023926	0.275	0.275	0.0009348392486572266	0.28	0.28	0.03291440010070801	0.315	0.315	0.002665281295776367	0.15	0.15	0.010585784912109375	0.185	0.185	0.006588935852050781	0.19	0.19	1.5743615627288818	0.225	0.225	4.386440277099609	0.23	0.23	4.34037971496582	0.185	0.185	5.9727783203125	0.18	0.18	8.13151741027832	0.215	0.215	2.7737927436828613	-1.0	29
0.31	0.31	0.0012192726135253906	0.31	0.31	0.03396153450012207	0.305	0.305	0.009611845016479492	0.3	0.3	0.10317063331604004	0.29	0.29	0.0009613037109375	0.31	0.31	0.03327012062072754	0.275	0.275	0.0024847984313964844	0.17	0.17	0.010447978973388672	0.28	0.28	0.0061681270599365234	0.275	0.275	1.5217723846435547	0.29	0.29	4.68935751914978	0.285	0.285	4.421893119812012	0.14	0.14	6.0228917598724365	0.14	0.14	8.250372409820557	0.275	0.275	2.7502615451812744	-0.5	30
0.29	0.29	0.001222372055053711	0.295	0.295	0.034622907638549805	0.31	0.31	0.009450435638427734	0.365	0.365	0.10042142868041992	0.315	0.315	0.0009198188781738281	0.315	0.315	0.03525376319885254	0.24	0.24	0.002391338348388672	0.155	0.155	0.010491132736206055	0.28	0.28	0.006550788879394531	0.27	0.27	1.5177462100982666	0.28	0.28	4.4113428592681885	0.335	0.335	4.432523965835571	0.085	0.085	6.0944437980651855	0.1	0.1	8.333189487457275	0.28	0.28	2.7957820892333984	-0.5	31
0.275	0.275	0.0012176036834716797	0.29	0.29	0.032637596130371094	0.315	0.315	0.014295578002929688	0.33	0.33	0.10643482208251953	0.295	0.295	0.0009758472442626953	0.33	0.33	0.035607337951660156	0.3	0.3	0.0025844573974609375	0.075	0.075	0.010661125183105469	0.23	0.23	0.0069081783294677734	0.195	0.195	1.5641553401947021	0.315	0.315	6.2580413818359375	0.265	0.265	7.953797340393066	0.21	0.21	10.614655256271362	0.21	0.21	8.868958473205566	0.275	0.275	2.8658254146575928	-0.5	32
0.235	0.235	0.0012314319610595703	0.24	0.24	0.04305911064147949	0.255	0.255	0.01680469512939453	0.29	0.29	0.10419225692749023	0.24	0.24	0.0009350776672363281	0.235	0.235	0.03361940383911133	0.19	0.19	0.0026581287384033203	0.25	0.25	0.010816574096679688	0.25	0.25	0.0066165924072265625	0.245	0.245	1.5864636898040771	0.25	0.25	7.7293877601623535	0.255	0.255	7.766202688217163	0.09	0.09	10.973448991775513	0.25	0.25	13.054620027542114	0.235	0.235	2.8576419353485107	-0.5	33
0.29	0.29	0.0012555122375488281	0.29	0.29	0.03274226188659668	0.27	0.27	0.013870000839233398	0.42	0.42	0.10364699363708496	0.27	0.27	0.0009584426879882812	0.29	0.29	0.033623456954956055	0.355	0.355	0.0024645328521728516	0.285	0.285	0.011111974716186523	0.285	0.285	0.005814075469970703	0.275	0.275	1.6087040901184082	0.285	0.285	4.596843719482422	0.295	0.295	4.5223610401153564	0.105	0.105	6.000669479370117	0.15	0.15	8.167208671569824	0.285	0.285	2.7731690406799316	-0.5	34
0.39	0.39	0.001230001449584961	0.375	0.375	0.032557010650634766	0.435	0.435	0.010092020034790039	0.41	0.41	0.10161495208740234	0.345	0.345	0.0009708404541015625	0.41	0.41	0.03322792053222656	0.36	0.36	0.002529621124267578	0.145	0.145	0.010637998580932617	0.265	0.265	0.006612539291381836	0.265	0.265	1.5719425678253174	0.305	0.305	4.476465225219727	0.36	0.36	4.416511535644531	0.265	0.265	10.889582633972168	0.265	0.265	14.904158353805542	0.27	0.27	2.915085792541504	-0.5	35
0.32	0.32	0.0012214183807373047	0.33	0.33	0.03758692741394043	0.27	0.27	0.018830299377441406	0.285	0.285	0.10328936576843262	0.275	0.275	0.0009696483612060547	0.345	0.345	0.03502941131591797	0.33	0.33	0.0026009082794189453	0.19	0.19	0.011046409606933594	0.21	0.21	0.006509542465209961	0.2	0.2	1.5361707210540771	0.285	0.285	4.389997959136963	0.3	0.3	4.319852113723755	0.045	0.045	5.982963562011719	0.225	0.225	8.240999698638916	0.29	0.29	2.7635061740875244	-0.5	36
