dataset	seed	product_dt_f1-micro	product_dt_accuracy	product_dt_time	product_rf_f1-micro	product_rf_accuracy	product_rf_time	tangent_mlp_f1-micro	tangent_mlp_accuracy	tangent_mlp_time	ambient_mlp_f1-micro	ambient_mlp_accuracy	ambient_mlp_time	tangent_gnn_f1-micro	tangent_gnn_accuracy	tangent_gnn_time	ambient_gnn_f1-micro	ambient_gnn_accuracy	ambient_gnn_time	product_dt_rmse	product_rf_rmse	tangent_mlp_rmse	ambient_mlp_rmse	tangent_gnn_rmse	ambient_gnn_rmse
neuron_33	0	0.7452830188679245	0.7452830188679245	0.0061359405517578125	0.7735849056603774	0.7735849056603774	0.05728292465209961	0.4528301886792453	0.4528301886792453	0.750103235244751	0.36792452830188677	0.36792452830188677	0.7920269966125488	0.4339622641509434	0.4339622641509434	1.724151372909546	0.42452830188679247	0.42452830188679247	1.729071855545044						
neuron_33	0	0.7264150943396226	0.7264150943396226	0.006284952163696289	0.7452830188679245	0.7452830188679245	0.06154751777648926	0.46226415094339623	0.46226415094339623	0.726184606552124	0.37735849056603776	0.37735849056603776	0.7630081176757812	0.44339622641509435	0.44339622641509435	1.725372552871704	0.5283018867924528	0.5283018867924528	1.7274363040924072						
neuron_33	0	0.7547169811320755	0.7547169811320755	0.006253480911254883	0.7641509433962265	0.7641509433962265	0.06554460525512695	0.5377358490566038	0.5377358490566038	0.7403237819671631	0.41509433962264153	0.41509433962264153	0.7876625061035156	0.5188679245283019	0.5188679245283019	1.7193410396575928	0.4716981132075472	0.4716981132075472	1.7229886054992676						
neuron_33	0	0.7075471698113207	0.7075471698113207	0.0061261653900146484	0.7452830188679245	0.7452830188679245	0.0611114501953125	0.5094339622641509	0.5094339622641509	0.728893518447876	0.41509433962264153	0.41509433962264153	0.7776327133178711	0.4528301886792453	0.4528301886792453	1.7194089889526367	0.46226415094339623	0.46226415094339623	1.722820520401001						
neuron_33	0	0.7075471698113207	0.7075471698113207	0.006135225296020508	0.7547169811320755	0.7547169811320755	0.05839061737060547	0.5943396226415094	0.5943396226415094	0.7300283908843994	0.4716981132075472	0.4716981132075472	0.7857084274291992	0.44339622641509435	0.44339622641509435	1.720977783203125	0.42452830188679247	0.42452830188679247	1.7259831428527832						
neuron_33	0	0.7641509433962265	0.7641509433962265	0.006143093109130859	0.7830188679245284	0.7830188679245284	0.06080031394958496	0.6037735849056604	0.6037735849056604	0.7532994747161865	0.4528301886792453	0.4528301886792453	0.7954411506652832	0.4716981132075472	0.4716981132075472	1.7188892364501953	0.44339622641509435	0.44339622641509435	1.7262229919433594						
neuron_33	0	0.8584905660377359	0.8584905660377359	0.0062274932861328125	0.8773584905660378	0.8773584905660378	0.05698728561401367	0.5566037735849056	0.5566037735849056	0.7408797740936279	0.5471698113207547	0.5471698113207547	0.7616007328033447	0.5283018867924528	0.5283018867924528	1.7205002307891846	0.5	0.5	1.722893476486206						
neuron_33	0	0.7735849056603774	0.7735849056603774	0.006101369857788086	0.7735849056603774	0.7735849056603774	0.05747556686401367	0.4716981132075472	0.4716981132075472	0.7412605285644531	0.36792452830188677	0.36792452830188677	0.7777285575866699	0.4528301886792453	0.4528301886792453	1.7275397777557373	0.42452830188679247	0.42452830188679247	1.7298400402069092						
neuron_33	0	0.7358490566037735	0.7358490566037735	0.006114482879638672	0.7547169811320755	0.7547169811320755	0.056060075759887695	0.5094339622641509	0.5094339622641509	0.7322595119476318	0.4528301886792453	0.4528301886792453	0.786801815032959	0.46226415094339623	0.46226415094339623	1.724769115447998	0.49056603773584906	0.49056603773584906	1.7359967231750488						
neuron_33	0	0.6886792452830188	0.6886792452830188	0.0067708492279052734	0.6792452830188679	0.6792452830188679	0.06027102470397949	0.4528301886792453	0.4528301886792453	0.752509355545044	0.4528301886792453	0.4528301886792453	0.796372652053833	0.44339622641509435	0.44339622641509435	1.7327380180358887	0.5283018867924528	0.5283018867924528	1.7364702224731445						
