curvature	seed	product_dt_f1-micro	product_dt_accuracy	product_dt_time	product_rf_f1-micro	product_rf_accuracy	product_rf_time	tangent_mlp_f1-micro	tangent_mlp_accuracy	tangent_mlp_time	ambient_mlp_f1-micro	ambient_mlp_accuracy	ambient_mlp_time	tangent_gnn_f1-micro	tangent_gnn_accuracy	tangent_gnn_time	ambient_gnn_f1-micro	ambient_gnn_accuracy	ambient_gnn_time
-2.0	10	0.41	0.41	0.009964942932128906	0.405	0.405	0.11161184310913086	0.38	0.38	0.7384097576141357	0.37	0.37	0.7582464218139648	0.38	0.38	5.169374704360962	0.285	0.285	5.166792631149292
-2.0	11	0.34	0.34	0.00993490219116211	0.35	0.35	0.11040639877319336	0.28	0.28	0.7299690246582031	0.295	0.295	0.7516412734985352	0.2	0.2	5.18053674697876	0.21	0.21	5.176807403564453
-2.0	12	0.27	0.27	0.009999275207519531	0.335	0.335	0.11158251762390137	0.31	0.31	0.74989914894104	0.305	0.305	0.7807650566101074	0.225	0.225	5.186295032501221	0.18	0.18	5.1761205196380615
-2.0	13	0.32	0.32	0.010050535202026367	0.34	0.34	0.1159820556640625	0.29	0.29	0.7411062717437744	0.28	0.28	0.7908916473388672	0.3	0.3	5.187259197235107	0.18	0.18	5.178951025009155
-2.0	14	0.285	0.285	0.010795116424560547	0.3	0.3	0.11870574951171875	0.27	0.27	0.7500839233398438	0.32	0.32	0.7717094421386719	0.22	0.22	5.176331281661987	0.255	0.255	5.186842441558838
-2.0	15	0.335	0.335	0.010071277618408203	0.36	0.36	0.10913777351379395	0.405	0.405	0.7244179248809814	0.375	0.375	0.7597825527191162	0.375	0.375	5.187896966934204	0.245	0.245	5.17618727684021
-2.0	16	0.39	0.39	0.010185718536376953	0.445	0.445	0.11310863494873047	0.405	0.405	0.7447860240936279	0.51	0.51	0.7644915580749512	0.37	0.37	5.166374921798706	0.345	0.345	5.167616128921509
-2.0	17	0.35	0.35	0.010346651077270508	0.35	0.35	0.11248350143432617	0.375	0.375	0.7286999225616455	0.39	0.39	0.7731540203094482	0.27	0.27	5.173063516616821	0.205	0.205	5.173928260803223
-2.0	18	0.42	0.42	0.010126590728759766	0.43	0.43	0.1193532943725586	0.4	0.4	0.7377674579620361	0.17	0.17	0.7797083854675293	0.385	0.385	5.189630746841431	0.325	0.325	5.175768136978149
-2.0	19	0.405	0.405	0.01026153564453125	0.42	0.42	0.11173677444458008	0.445	0.445	0.7468445301055908	0.47	0.47	0.7528893947601318	0.415	0.415	5.187892913818359	0.265	0.265	5.182727813720703
-1.0	20	0.32	0.32	0.010606765747070312	0.325	0.325	0.11190271377563477	0.305	0.305	0.7319216728210449	0.34	0.34	0.7753651142120361	0.32	0.32	5.19273042678833	0.255	0.255	5.190399408340454
-1.0	21	0.385	0.385	0.009303092956542969	0.4	0.4	0.10948061943054199	0.345	0.345	0.749335527420044	0.29	0.29	0.7914667129516602	0.39	0.39	5.182082414627075	0.355	0.355	5.194897174835205
-1.0	22	0.28	0.28	0.01017451286315918	0.305	0.305	0.11194109916687012	0.28	0.28	0.7418458461761475	0.295	0.295	0.7724804878234863	0.23	0.23	5.196328639984131	0.21	0.21	5.201320171356201
-1.0	23	0.295	0.295	0.010178565979003906	0.275	0.275	0.11544513702392578	0.25	0.25	0.7328958511352539	0.26	0.26	0.7616500854492188	0.23	0.23	5.175902366638184	0.24	0.24	5.175358772277832
-1.0	24	0.23	0.23	0.010021209716796875	0.22	0.22	0.11101722717285156	0.215	0.215	0.7323489189147949	0.26	0.26	0.763080358505249	0.25	0.25	5.180963516235352	0.21	0.21	5.185065031051636
-1.0	25	0.325	0.325	0.01023101806640625	0.365	0.365	0.1115560531616211	0.305	0.305	0.7397842407226562	0.365	0.365	0.7662572860717773	0.3	0.3	5.1714959144592285	0.295	0.295	5.191908121109009
-1.0	26	0.295	0.295	0.010263204574584961	0.33	0.33	0.10728669166564941	0.25	0.25	0.7265677452087402	0.385	0.385	0.7700324058532715	0.205	0.205	5.197932481765747	0.215	0.215	5.202200174331665
-1.0	27	0.295	0.295	0.010508537292480469	0.28	0.28	0.11626935005187988	0.265	0.265	0.730705976486206	0.255	0.255	0.7769467830657959	0.26	0.26	5.196233510971069	0.22	0.22	5.205732345581055
-1.0	28	0.325	0.325	0.01030421257019043	0.325	0.325	0.11675310134887695	0.255	0.255	0.7521622180938721	0.23	0.23	0.7642285823822021	0.325	0.325	5.191157817840576	0.255	0.255	5.200887203216553
