sklearn_dt_f1-micro	sklearn_dt_accuracy	sklearn_dt_time	sklearn_rf_f1-micro	sklearn_rf_accuracy	sklearn_rf_time	product_dt_f1-micro	product_dt_accuracy	product_dt_time	product_rf_f1-micro	product_rf_accuracy	product_rf_time	tangent_dt_f1-micro	tangent_dt_accuracy	tangent_dt_time	tangent_rf_f1-micro	tangent_rf_accuracy	tangent_rf_time	knn_f1-micro	knn_accuracy	knn_time	ps_perceptron_f1-micro	ps_perceptron_accuracy	ps_perceptron_time	svm_f1-micro	svm_accuracy	svm_time	ps_svm_f1-micro	ps_svm_accuracy	ps_svm_time	ambient_mlp_f1-micro	ambient_mlp_accuracy	ambient_mlp_time	tangent_mlp_f1-micro	tangent_mlp_accuracy	tangent_mlp_time	ambient_gnn_f1-micro	ambient_gnn_accuracy	ambient_gnn_time	kappa_gcn_f1-micro	kappa_gcn_accuracy	kappa_gcn_time	product_mlr_f1-micro	product_mlr_accuracy	product_mlr_time	signature	seed
0.305	0.305	0.008185625076293945	0.38	0.38	0.06628894805908203	0.315	0.315	0.689464807510376	0.36	0.36	6.682549953460693	0.29	0.29	0.0042476654052734375	0.46	0.46	0.09509682655334473	0.455	0.455	0.006921291351318359	0.285	0.285	0.021639585494995117	0.19	0.19	0.013060808181762695	0.1	0.1	1.6723911762237549	0.38	0.38	7.9181952476501465	0.36	0.36	6.9498772621154785	0.11	0.11	7.781315326690674	0.11	0.11	31.76980471611023	0.35	0.35	3.6291048526763916	HE	10
0.29	0.29	0.007681131362915039	0.345	0.345	0.4180891513824463	0.26	0.26	0.8289444446563721	0.355	0.355	8.802944660186768	0.285	0.285	0.0037763118743896484	0.335	0.335	0.07118821144104004	0.315	0.315	0.020182371139526367	0.13	0.13	0.18062114715576172	0.13	0.13	0.011104583740234375	0.075	0.075	2.7321255207061768	0.23	0.23	9.386413097381592	0.25	0.25	9.780612468719482	0.13	0.13	9.179028987884521	0.13	0.13	19.38762903213501	0.225	0.225	2.392920970916748	HE	11
0.245	0.245	0.004060268402099609	0.34	0.34	0.03285527229309082	0.295	0.295	0.5005526542663574	0.355	0.355	9.62641453742981	0.28	0.28	0.003262758255004883	0.315	0.315	0.03519892692565918	0.37	0.37	0.0034301280975341797	0.215	0.215	0.0379643440246582	0.26	0.26	0.00775146484375	0.115	0.115	1.5973916053771973	0.29	0.29	8.78058671951294	0.265	0.265	9.447176694869995	0.18	0.18	9.868008852005005	0.26	0.26	24.552597522735596	0.265	0.265	5.375662803649902	HE	12
0.3	0.3	0.0047991275787353516	0.29	0.29	0.9154102802276611	0.32	0.32	1.3124663829803467	0.325	0.325	9.603209018707275	0.29	0.29	0.004194498062133789	0.31	0.31	0.13665270805358887	0.37	0.37	0.006948232650756836	0.165	0.165	0.014021873474121094	0.19	0.19	0.011435508728027344	0.18	0.18	1.9419152736663818	0.285	0.285	6.8148109912872314	0.3	0.3	9.335395336151123	0.19	0.19	13.107358932495117	0.19	0.19	18.35653066635132	0.225	0.225	3.333819627761841	HE	13
0.37	0.37	0.0050754547119140625	0.395	0.395	0.2661285400390625	0.32	0.32	0.7401752471923828	0.395	0.395	5.529880523681641	0.38	0.38	0.004022121429443359	0.415	0.415	0.26073408126831055	0.435	0.435	0.02626943588256836	0.135	0.135	0.030024290084838867	0.085	0.085	0.022004127502441406	0.07	0.07	2.5288684368133545	0.425	0.425	5.157777786254883	0.39	0.39	5.973017930984497	0.19	0.19	7.544023513793945	0.23	0.23	18.690215349197388	0.335	0.335	4.420545816421509	HE	14
0.345	0.345	0.0039751529693603516	0.355	0.355	0.03639554977416992	0.33	0.33	0.47717905044555664	0.415	0.415	5.9494948387146	0.33	0.33	0.0038483142852783203	0.43	0.43	0.0696709156036377	0.425	0.425	0.006751060485839844	0.25	0.25	0.02736520767211914	0.095	0.095	0.024532794952392578	0.095	0.095	2.5518763065338135	0.345	0.345	6.198413848876953	0.39	0.39	5.105936050415039	0.21	0.21	10.550873517990112	0.215	0.215	26.666688203811646	0.25	0.25	4.231262683868408	HE	15
0.375	0.375	0.004937648773193359	0.39	0.39	0.10401797294616699	0.375	0.375	0.6011660099029541	0.425	0.425	7.638092517852783	0.38	0.38	0.005667209625244141	0.435	0.435	0.6099858283996582	0.46	0.46	0.007104396820068359	0.18	0.18	0.035958290100097656	0.22	0.22	0.009418010711669922	0.04	0.04	3.141080379486084	0.295	0.295	7.795453310012817	0.305	0.305	5.3806257247924805	0.11	0.11	8.716599464416504	0.22	0.22	18.627200841903687	0.26	0.26	3.884679079055786	HE	16
0.28	0.28	0.00403904914855957	0.385	0.385	0.03391242027282715	0.335	0.335	1.0750572681427002	0.355	0.355	10.623390674591064	0.27	0.27	0.003220081329345703	0.4	0.4	0.03456521034240723	0.37	0.37	0.003496885299682617	0.215	0.215	0.037775516510009766	0.21	0.21	0.006865978240966797	0.08	0.08	1.564122200012207	0.265	0.265	9.044575214385986	0.25	0.25	9.571406126022339	0.075	0.075	9.662698984146118	0.21	0.21	31.611446142196655	0.25	0.25	5.050988435745239	HE	17
0.32	0.32	0.0052907466888427734	0.285	0.285	0.09803366661071777	0.255	0.255	0.7178785800933838	0.345	0.345	6.845980405807495	0.305	0.305	0.004399299621582031	0.31	0.31	0.4678456783294678	0.315	0.315	0.00860905647277832	0.15	0.15	0.02464771270751953	0.07	0.07	0.01842808723449707	0.105	0.105	2.686652898788452	0.275	0.275	11.135334253311157	0.26	0.26	9.85878586769104	0.075	0.075	11.26585078239441	0.185	0.185	26.74340558052063	0.225	0.225	4.598658323287964	HE	18
0.41	0.41	0.0046880245208740234	0.52	0.52	0.04619860649108887	0.415	0.415	0.7517352104187012	0.47	0.47	7.032077074050903	0.395	0.395	0.0037288665771484375	0.515	0.515	0.06810879707336426	0.5	0.5	0.0055849552154541016	0.195	0.195	0.030585527420043945	0.145	0.145	0.02026081085205078	0.195	0.195	2.4736156463623047	0.515	0.515	6.6184892654418945	0.51	0.51	6.983379364013672	0.145	0.145	9.40394902229309	0.145	0.145	18.332473039627075	0.34	0.34	3.71498966217041	HE	19
